AcX 1,AcY 1,AcZ 1,GyX 1,GyY 1,GyZ 1,AcX 2,AcY 2,AcZ 2,GyX 2,GyY 2,GyZ 2,AcX 3,AcY 3,AcZ 3,GyX 3,GyY 3,GyZ 3,voltage,current,power,energy
1292,-11824,-5004,1028,-519,4295,5338,8806,-8154,813,3184,-3380,-234,1148,2408,357,-322,716,5.08,440,2236,0.0
304,-10106,-3426,4461,-145,1155,3822,9998,-4120,-1243,1943,689,-512,-1228,2546,230,-370,264,5.08,440,2236,0.1
180,-7788,-2524,4970,-320,-913,6382,10522,-5508,-2302,2948,1798,-760,-954,4872,160,-422,329,5.07,508,2579,0.1
986,-4508,-1718,2619,1327,-4997,5188,6026,-5706,-4155,3491,3970,-886,-610,4574,122,-321,190,5.08,440,2236,0.2
934,-5104,-2310,1024,1530,-7899,4604,3532,-5318,-4694,3674,5851,-784,-636,6604,124,-500,46,5.07,528,2678,0.2
304,-4498,-1442,246,1170,-10480,4274,4182,-4294,-7297,4523,8542,-854,-1032,6180,264,-17,-587,5.08,440,2236,0.2
-344,-2722,-754,784,1309,-11535,5700,4180,-4520,-9373,6327,9178,-1396,-1260,5726,310,327,-976,5.08,523,2658,0.3
464,572,-296,982,1880,-13083,4202,180,-4592,-11309,7807,8985,-1738,-1126,5784,363,768,-1382,5.07,508,2579,0.3
-36,5764,-384,3187,2470,-15468,-3348,-8402,2884,-12405,5175,10936,-3246,-776,6812,409,1594,-1452,5.08,450,2286,0.4
-2178,8966,-1200,10318,3093,-14314,-5816,-14882,4716,-9535,1424,9686,-3040,-990,8458,429,2328,-1657,5.07,508,2579,0.4
-572,14150,-3726,12763,3985,-13225,-5008,-19432,5602,-8757,-3876,5640,-2046,-1524,10214,384,2879,-1985,5.07,513,2604,0.4
-1442,32767,-7290,9121,6100,-9957,-838,-32768,4484,-5696,-1734,6535,14,3132,15676,381,1925,-1778,5.08,450,2286,0.5
2084,32767,-9972,4698,3130,-9762,1630,-32768,3348,-2815,1878,5668,-2432,6242,14816,398,1419,382,5.07,513,2604,0.5
5568,32767,-8478,1790,456,-7667,1578,-32768,2794,-2111,2086,2692,-2856,5270,15680,85,136,447,5.07,508,2579,0.6
2916,32767,-3916,-1426,-1910,600,10566,-32768,7036,-1295,-238,-3735,-616,1804,10406,-133,-1161,1208,5.08,450,2286,0.6
8764,32767,1994,-5970,-5460,1113,2606,-32768,9630,2144,-1171,-3455,-1494,180,8126,-243,-502,1254,5.07,513,2604,0.7
10052,26528,3584,-8442,-2805,2668,4006,-23198,5568,5822,-2292,-6620,-2732,-760,7576,-451,-940,1344,5.07,503,2554,0.7
4394,18176,1606,-8222,-5414,7251,1576,-12340,480,7319,-2489,-7033,-2058,-1542,7308,-502,-111,582,5.08,445,2261,0.8
2696,12642,-174,-8038,-6741,8433,48,-7718,-24,7568,-3143,-5641,-1480,-1162,7024,-426,184,288,5.07,508,2579,0.8
1590,8572,-1094,-7340,-4868,8346,2718,-5544,-510,7785,-2616,-2979,-1248,-1146,8216,-291,24,54,5.07,503,2554,0.8
-302,3528,-1448,-4762,-868,8978,-740,-240,-920,4985,-3202,-4077,-1306,650,7462,-50,59,-159,5.08,445,2261,0.9
-3782,1430,-2156,-3571,-379,9691,-3858,2366,-1132,4052,-5675,-8198,-1592,1230,6490,130,23,-27,5.07,508,2579,0.9
-4880,-1584,-1848,-2150,-3254,11079,-1020,6020,-2166,1826,-7934,-10477,152,660,5398,286,-362,916,5.08,445,2261,1.0
-3876,-2018,-2966,-1972,-1952,12245,-690,4926,-4974,1773,-6960,-10054,-756,690,1178,322,-15,838,5.07,503,2554,1.0
-3812,-3726,-3968,-2970,-977,11212,-1152,2380,-6376,2979,-5615,-8998,236,-336,3922,220,-349,1026,5.07,503,2554,1.0
-2932,-9210,-5686,-4746,1433,8434,1554,9620,-12130,3759,-114,-4188,-958,-1516,3694,21,-279,1110,5.08,440,2236,1.1
-2248,-9916,-6320,-4911,1964,7524,5064,10700,-15374,1707,6237,-3951,-510,-1060,4074,-70,-54,1053,5.07,499,2529,1.1
-2346,-8666,-6628,-3770,1048,5647,7030,10314,-12724,1178,8169,-4057,-980,-1252,5046,-46,-363,518,5.07,503,2554,1.2
-4098,-8100,-2086,-1186,-1778,337,2518,13524,-6676,1424,1229,2520,-908,-402,6152,113,-486,190,5.08,440,2236,1.2
432,-11656,-3810,361,-1765,-2754,5118,11424,-7058,-684,3645,4454,-1232,-898,5376,229,-145,-314,5.07,508,2579,1.2
-524,-11110,-6792,3177,-675,-6440,5396,6010,-7446,-3142,7839,5985,-1180,-1676,4322,408,-87,-1072,5.08,445,2261,1.3
1306,-7704,-5074,3986,438,-7852,1766,6378,-7050,-5171,6944,7311,-750,-2044,3892,485,198,-1424,5.07,508,2579,1.3
-656,-4100,-3248,4085,2178,-9847,650,5934,-5082,-8053,7063,8066,-1434,-2068,3726,539,763,-1915,5.07,499,2529,1.4
-334,-318,-534,3621,2890,-12885,948,608,-3870,-11284,6799,9039,-2990,-2058,6078,370,1433,-2024,5.08,440,2236,1.4
966,1910,226,3664,5024,-14148,338,-6730,-3970,-12437,7262,8858,-2686,-936,10362,192,1477,-1768,5.08,494,2509,1.5
1064,6618,-578,8629,5555,-13720,-2852,-14380,3094,-10639,3513,9607,-1410,1660,16184,86,1182,-795,5.07,513,2604,1.5
-470,19636,560,14014,3957,-12422,-1086,-26404,11822,-4260,-3811,7210,-590,4142,21308,326,-623,-386,5.08,489,2484,1.6
-1438,26966,-6736,13908,8771,-12257,-578,-32768,11318,-4376,-3442,4515,2082,3110,14368,172,-768,442,5.07,567,2876,1.6
-2368,32767,-5908,11328,3386,-8024,1778,-32768,10206,-5191,38,2947,140,1414,6746,-102,-64,797,5.07,562,2852,1.6
9808,32767,-3954,2386,524,-4311,3582,-32768,8202,-5460,-2825,-2598,-5050,430,6142,-766,-709,1399,5.08,425,2161,1.7
9608,32767,-2110,-2893,-1866,-842,6556,-32768,9838,-2211,-6015,-4822,-5388,570,8116,-811,112,1224,5.07,503,2554,1.7
10486,32767,2482,-7221,-3491,1777,6706,-28670,6454,1161,-6016,-7306,-3118,322,10866,-691,-1380,895,5.07,499,2529,1.8
10234,22282,2596,-10144,-12206,7335,4142,-17636,1774,4709,-2199,-8381,-2274,-890,7786,-38,-109,89,5.08,425,2161,1.8
6826,16090,1968,-7513,-2131,7587,-2960,-10536,-616,7474,-3650,-10174,-1606,-1024,9510,222,678,-566,5.06,494,2500,1.8
-2708,9504,-3112,-4359,-1025,12806,1976,-6462,-2930,7372,-3715,-9135,-2554,206,8184,347,917,-629,5.06,508,2574,1.9
3328,7070,-444,-3746,-7135,11110,-1276,-718,-4016,6188,-2335,-8295,-1364,440,7674,344,366,-219,5.08,450,2286,1.9
-2376,4504,-720,-3926,1161,9063,-2506,-84,-3384,5398,-2931,-6454,-860,130,7536,235,-117,16,5.07,484,2455,2.0
-4830,758,-1722,-3653,6652,10344,-1394,2820,-3318,5311,-1254,-2622,-1916,768,4360,-71,-558,573,5.08,430,2186,2.0
-6856,-716,-3068,-5178,1447,9925,-2866,6568,-4268,5828,-3454,-7624,376,28,1776,-193,-333,1000,5.07,484,2455,2.1
-4250,-8092,-5592,-4912,-1987,10575,-2966,10162,-10042,4202,-5531,-10318,266,196,2364,-291,-131,1280,5.07,494,2504,2.1
-3234,-8520,-5584,-3245,656,9444,1102,7476,-8652,3252,-4595,-8338,-836,-104,2570,-498,-316,1447,5.08,435,2211,2.1
-2314,-5526,-4024,-2463,2488,8563,1242,11652,-8832,4143,-2023,-4600,-1190,296,3594,-491,-128,1322,5.08,489,2484,2.2
-2824,-7002,-5908,-3749,1376,3927,3976,16812,-11630,2939,3283,-1039,-1282,1078,4182,-294,-77,1000,5.06,503,2549,2.2
1054,-14982,-6490,-2877,3022,-2162,5510,12734,-10902,-1411,5929,752,-674,232,4838,82,-317,508,5.08,425,2161,2.3
-1074,-13618,-5894,-1,3020,-2824,4946,10434,-7280,-3170,7104,3422,-932,-592,4616,230,-285,394,5.07,499,2529,2.3
-1550,-10252,-4826,2073,1260,-3764,3328,8982,-5200,-3813,8828,6175,-540,-1336,4274,362,26,-34,5.07,484,2455,2.3
192,-7652,-4394,4294,1019,-7514,712,6856,-7650,-7485,8169,8251,-86,-3102,4802,400,464,-1149,5.08,435,2211,2.4
-812,-6904,-4290,5104,1150,-9692,412,4626,-7432,-9369,8346,9633,-128,-3578,4952,293,442,-1600,5.07,499,2529,2.4
-1502,-1314,-3710,6401,1816,-11825,-1790,-1542,-6088,-11648,6909,10756,-2648,-2354,5906,200,828,-1974,5.08,430,2186,2.5
-1478,3132,-2634,7096,882,-12478,-3016,-7880,132,-10839,5584,11437,-2916,-1788,7398,89,1177,-1821,5.08,479,2435,2.5
-1214,9218,438,10161,3511,-12842,-4726,-12324,4880,-9578,3779,12365,-1492,-1764,8906,-30,1556,-1830,5.06,494,2500,2.5
3114,19806,-1336,11285,3614,-12375,-3486,-23556,5982,-5183,3181,7294,-798,724,18840,-211,1130,-1177,5.08,425,2161,2.6
-2880,29424,-1260,11197,5972,-10581,-5324,-31378,4290,-6217,971,3483,1000,5950,19386,-193,-139,-246,5.07,489,2480,2.6
-1354,32767,-1038,8621,4139,-7341,-4384,-32768,8202,-7606,-2430,1772,-2458,8046,13382,3,-327,-15,5.07,484,2455,2.7
5960,32767,-2424,2740,-8504,-2386,4088,-32768,6812,-7586,-6653,-3579,-2238,1928,8528,-302,-986,1589,5.08,420,2137,2.7
13236,32767,3164,-1653,-7508,643,4766,-32768,2530,-23,-10804,-6620,-5542,38,10110,-498,-926,1173,5.07,489,2480,2.8
10406,32278,1034,-4273,-2258,4519,4940,-32768,4314,5053,-13777,-8724,-824,-668,12588,-583,-1525,1159,5.07,479,2430,2.8
7778,24896,1342,-7201,-8179,7637,3786,-23052,-1770,8836,-598,-6738,-2276,-288,11776,-106,-1098,459,5.08,415,2112,2.8
5058,17824,76,-7558,-1709,7498,-3866,-8030,-1388,8747,-5790,-12114,-3166,-406,6896,154,-99,148,5.06,489,2475,2.9
3562,13614,-2474,-7424,-1859,7792,5444,-9210,-4984,7058,-3945,-9968,-2134,-2088,10672,197,41,-208,5.07,474,2405,2.9
-2988,4876,-5294,-6024,-4757,10376,-3114,-968,-3948,7480,-1387,-7430,-2908,-744,8230,3,104,-359,5.08,420,2137,3.0
-688,2334,-3768,-4898,-3833,11485,-4682,1514,-3692,7437,-2633,-2372,-1808,1428,8774,8,-262,-231,5.07,469,2380,3.0
-1242,378,-3836,-3969,-707,11512,-1188,240,-2734,4332,-1856,-652,-742,742,6642,38,-463,-11,5.07,489,2480,3.0
-3748,-3080,-3870,-3811,703,10850,-3926,8172,-4534,6170,-4500,-12073,-488,952,4090,57,-410,536,5.08,420,2137,3.1
-2512,-5872,-4764,-3832,10,11090,-3234,5758,-8378,3605,-7928,-14000,-698,292,2518,80,-293,438,5.07,479,2430,3.1
-1348,-4052,-3850,-4259,1272,10720,1128,5604,-8662,3096,-7488,-11296,-934,100,2592,-1,-473,862,5.07,469,2380,3.1
-1082,-9266,-6110,-5811,725,5769,2996,13540,-14214,5238,202,-4169,-220,-446,2586,-134,-131,1191,5.08,420,2137,3.2
276,-14564,-7360,-4183,1468,3681,5700,16752,-15652,3347,5967,-2885,672,-396,4146,-119,-271,986,5.07,474,2405,3.2
1078,-14438,-7728,977,1760,1154,3772,14260,-9220,-2337,6162,-614,1384,150,5652,125,-349,204,5.07,479,2430,3.3
-548,-9568,-4866,3042,1080,-814,3146,12404,-6910,-4447,4288,1988,-310,-678,3324,332,-86,128,5.06,552,2797,3.3
-630,-6064,-1690,3218,1124,-2834,3736,9256,-5800,-4906,7108,4509,-564,-818,4824,476,303,-389,5.07,489,2480,3.4
806,-6910,-1638,1995,1417,-7544,1658,6446,-7628,-5211,9285,7751,-914,-2208,5478,552,171,-1159,5.07,425,2157,3.4
834,-7692,-2808,2536,2433,-9257,644,7030,-6986,-7228,7734,8970,-582,-2594,6090,523,-15,-1505,5.07,479,2430,3.4
-2534,-3598,-2078,3913,3009,-9988,-2270,4452,-4274,-12025,6713,10192,-992,-2132,5224,469,537,-2037,5.08,425,2161,3.5
-2766,-38,-386,4415,3261,-11974,-3518,-2988,-5076,-12804,7415,10589,-2410,-1238,3294,379,1107,-1954,5.07,489,2480,3.5
-1304,2732,94,4544,3672,-13608,-7204,-10928,7024,-9791,5515,12575,-3240,-834,4300,162,1510,-1650,5.07,484,2455,3.6
-4506,7524,2070,8273,4933,-14273,-3512,-15202,4272,-761,4376,11635,-40,2790,15940,250,1324,-831,5.08,435,2211,3.6
-782,15088,-724,10027,4638,-12983,-1646,-18612,4334,-3,2529,9441,848,6358,20138,833,1713,-258,5.08,464,2360,3.6
-3846,30046,-2056,11929,8268,-10637,-4940,-24554,6154,-2579,-569,5472,20,4574,19344,736,607,63,5.07,469,2380,3.7
-4476,32767,-208,8895,-977,-6426,-3206,-32768,7722,-9891,-2918,1708,-732,3178,7858,49,-344,1042,5.08,420,2137,3.7
3260,32767,-1230,6203,-4791,-2376,-304,-32768,10776,-10293,-5137,-185,-1268,-1346,8152,-573,-1228,1653,5.08,469,2385,3.8
6382,32767,-1382,2466,-2478,1093,2832,-32768,9174,-3486,-7696,-3258,-2624,-1942,4190,-1001,-915,1363,5.07,464,2356,3.8
9500,32767,2616,-6314,-13940,5435,6190,-25574,5234,4759,-3204,-7030,-4730,-838,7860,-632,-693,593,5.08,411,2087,3.9
12624,26036,2826,-7932,-4275,6867,5416,-15486,1908,3272,-4588,-9576,-3060,-1400,11418,-112,-637,122,5.07,484,2455,3.9
568,20724,-458,-7238,-1293,9755,2312,-17346,2458,6478,-1698,-4035,-2480,-1706,8226,98,-89,33,5.07,474,2405,3.9
3792,12896,980,-5904,-4581,11588,4392,-5700,-1302,6420,-7397,-8687,-3038,470,9016,251,628,-451,5.08,415,2112,4.0
432,10426,508,-6575,-10156,11306,6182,-7208,-1874,6574,-2796,-5008,-2502,1234,9598,295,408,-684,5.07,469,2380,4.0
-172,7112,-2518,-6332,-4978,8153,-1210,-4350,-3866,7375,-610,-977,-1154,978,8764,165,-290,-177,5.07,474,2405,4.0
-4998,-760,-3302,-3061,2399,11052,2120,2268,-3670,4423,908,1240,160,1790,5656,-54,-106,1468,5.08,420,2137,4.1
-2408,-240,-4440,-2313,4009,9513,1176,4224,-2660,4770,1666,-4347,-2864,1902,3198,-150,-309,981,5.07,508,2579,4.1
-4866,-6348,-6300,-3350,-301,8511,-4222,2848,-8714,4700,-6072,-14021,-688,-272,3454,-359,-199,1960,5.08,430,2186,4.2
-3746,-7438,-4888,-2609,-1987,10105,-2160,4726,-8926,4188,-16220,-11246,144,-552,5448,-575,-463,1924,5.07,503,2554,4.2
-2056,-7012,-4316,-2961,-961,9114,4892,9300,-13094,1927,-15658,-7517,-82,-328,3140,-708,-430,1746,5.07,499,2529,4.2
-868,-8936,-4804,-3979,1159,6050,8182,11334,-14296,710,910,-2244,-776,-210,3104,-669,-282,1420,5.06,518,2623,4.3
482,-10568,-5528,-2603,3410,1578,4036,9840,-10208,-1265,10632,-1866,292,-524,3592,-497,-106,715,5.08,430,2186,4.3
-2374,-10280,-6594,-374,3450,783,3438,8836,-5518,-3214,8609,-775,128,-804,4686,-330,-218,394,5.07,489,2480,4.4
322,-8596,-3864,1629,353,-2101,1682,9220,-3516,-2440,6076,4650,-144,-2398,4694,-205,13,-206,5.08,430,2186,4.4
-30,-8190,-3142,2261,379,-4060,2590,8770,-5098,-4069,6275,5096,-108,-2588,6928,-224,-242,-736,5.07,503,2554,4.5
914,-7976,-3490,2939,1161,-5693,3188,6614,-4912,-5433,7739,5822,-448,-2110,5744,-93,-333,-1058,5.07,494,2504,4.5
540,-4164,-2430,3955,1748,-8625,-642,2216,-4726,-7498,4992,7352,-374,-2254,4362,145,152,-1444,5.08,440,2236,4.5
-6,-1810,-2224,4649,1470,-9795,-702,-306,-4456,-7785,3379,8635,-1006,-2264,3708,114,449,-1743,5.07,513,2604,4.6
344,-1292,-736,8638,1851,-12203,-24,-7772,1012,-6894,3578,10221,-4054,-1986,5738,-300,1021,-1845,5.07,499,2529,4.6
42,5784,-594,12225,2945,-11797,182,-11108,5234,-5710,3523,9739,-4714,400,8216,-494,1402,-1434,5.07,499,2529,4.7
-1582,12372,2400,17022,2914,-9923,-804,-20356,9628,-3770,2117,6730,-1926,3376,14448,-185,1463,-951,5.07,489,2480,4.7
2032,32767,-11784,15681,6865,-9456,-754,-26424,12140,-1638,-2844,5150,2696,3512,20074,733,212,-1387,5.08,420,2137,4.8
62,32767,-8698,10208,2317,-7814,-1724,-30626,13404,-4512,-517,3881,-3088,4194,15254,395,-499,-376,5.07,508,2579,4.8
7710,32767,-3674,3478,-3687,-6832,626,-32768,11566,-7358,-2116,-237,-5700,7204,10352,292,-417,526,5.06,601,3044,4.8
16778,32767,-2654,-6241,-4766,-1688,4908,-32768,10582,-2682,-3051,-3697,-1644,-2156,6392,-503,-1371,1921,5.08,420,2137,4.9
12366,32552,532,-8078,3679,2222,1688,-27790,8766,705,-6192,-7974,-3116,146,6096,-612,-1066,2079,5.06,494,2500,4.9
2046,25460,-1406,-7401,1816,6967,4208,-22318,5644,2396,-3994,-8446,-3328,-678,9672,-283,-14,860,5.07,474,2405,5.0
6428,22838,618,-8604,-1689,5909,-1224,-17740,2578,8152,-2545,-5945,-2426,-476,10808,152,15,-210,5.07,469,2380,5.0
1772,12492,-2042,-7701,-2798,6398,6512,-9434,-1080,5856,-4060,-7912,-3348,-1760,8024,583,506,-271,5.08,415,2112,5.0
-1708,8898,-4018,-6556,-7231,8443,1460,-5634,-3354,5525,-4099,-7316,-3106,-1754,7924,553,817,-552,5.06,484,2450,5.1
-190,4144,-1124,-3984,-4329,9949,-588,-2164,-4408,5264,-2726,-1420,-1830,1310,8120,641,842,-708,5.07,420,2132,5.1
-2284,2322,-2464,-3676,299,10311,2308,-1362,-4294,4765,-794,-1668,-1210,658,6598,606,368,-62,5.08,469,2385,5.2
-4564,-396,-2846,-3485,1258,9917,-2700,1778,-2130,5474,-2135,-7399,318,3968,4650,569,534,1894,5.07,494,2504,5.2
-2988,-4952,-5848,-4590,-291,9385,-1484,9364,-11054,1592,-8381,-12239,854,136,4512,313,-454,1375,5.08,415,2112,5.2
-2644,-4366,-5264,-5582,511,8585,3930,8834,-11714,686,-7619,-10012,570,-410,2554,125,-727,1277,5.07,479,2430,5.3
-2584,-2206,-3816,-6506,556,6910,3596,6140,-9594,815,-1748,-6716,550,-886,562,-87,-224,1617,5.07,469,2380,5.3
-862,-9374,-6110,-7686,556,2831,3034,10736,-9408,3529,7646,-2059,-726,510,-16,-249,169,1490,5.08,420,2137,5.4
138,-13188,-6640,-6803,1385,1397,2924,11756,-8656,2703,5339,124,788,356,5026,-219,-29,1058,5.07,484,2455,5.4
-240,-12004,-4940,-766,1479,-383,4150,11464,-6180,-547,6473,1966,-74,-472,4252,17,-184,169,5.08,425,2161,5.4
-1094,-8260,-2464,1657,1201,-1660,3858,9634,-5674,-2450,8083,3593,56,-1092,6730,171,-374,-634,5.06,513,2599,5.5
-122,-6782,-842,2369,378,-4273,3280,6956,-6342,-4547,9173,5881,-1244,-1658,5874,318,-162,-1182,5.07,474,2405,5.5
984,-9508,-3966,4859,2227,-7019,2504,2946,-6510,-6487,6807,7841,-2062,-1952,6544,358,-123,-1512,5.08,415,2112,5.6
-372,-8134,-5468,6964,2663,-8062,1964,3088,-5490,-7849,5226,8859,-1434,-1462,6750,408,-50,-1602,5.07,474,2405,5.6
-2478,-3494,-3888,8448,2465,-9468,2082,2466,-3538,-8726,4248,9591,-2260,-1338,4728,366,30,-1747,5.07,469,2380,5.6
-4000,362,-1320,8875,2306,-13006,-1650,-7164,920,-9520,5652,9660,-3070,-1122,4730,17,717,-1488,5.08,415,2112,5.7
-2194,1754,-2990,9550,2563,-14166,-3238,-13580,5492,-8181,4860,9670,-2976,1260,9230,-190,1077,-977,5.07,474,2405,5.7
-4436,17060,556,15328,4029,-11563,-582,-26240,11902,-5060,-309,4839,544,5168,18462,108,903,254,5.08,411,2087,5.8
-2968,27396,-5792,14906,4706,-11159,-2392,-32768,14944,-4588,-5471,2355,3158,5098,19852,360,726,-153,5.08,484,2460,5.8
-6248,32767,-6692,13657,1528,-10690,494,-32768,11872,-4701,-5800,1021,1262,2864,15470,279,-30,-777,5.07,464,2356,5.8
4748,32767,-6696,9025,-2493,-1561,4108,-32768,10404,-4025,-6907,-3218,-3924,2054,7528,-343,-1010,112,5.08,415,2112,5.9
9896,32767,-6550,3985,-2247,2423,7996,-32768,10374,-2284,-4524,-6340,-4208,476,6314,-790,-1077,1102,5.08,474,2410,5.9
9366,32767,-5486,-2127,-4259,5275,4076,-26632,6746,867,-5233,-8944,-3766,-440,5110,-1066,-1122,1366,5.07,479,2430,6.0
5370,30074,-4078,-6031,-5974,8037,4642,-17532,3176,1227,-4853,-10489,-1866,-750,9242,-1162,-1142,807,5.07,474,2405,6.0
7524,20072,-3674,-10769,-7521,10191,-4952,-4988,-1078,6969,-6676,-10616,-2622,446,9310,-684,-557,59,5.08,415,2112,6.0
3234,13076,-1114,-6644,4364,13503,3854,-3946,-4340,6268,-4030,-8627,-2726,930,8100,-298,239,-81,5.07,484,2455,6.1
-9308,11686,-7452,-6347,-8305,15017,-1682,-1904,-4484,6944,-2254,-7065,-2036,830,9878,-2,-187,37,5.07,474,2405,6.1
-418,4174,-6174,-7333,-327,8701,-1090,4032,-3378,5455,-2193,-71,-1806,918,7890,162,-382,293,5.08,411,2087,6.2
-5942,-4170,-3824,-5011,5201,11086,848,4688,-3146,5497,-2706,-1993,88,152,5498,98,-423,448,5.07,474,2405,6.2
-3732,-6182,-7292,-2428,8787,11773,-1000,7750,-8336,5657,-4351,-10330,-314,-14,3378,-123,-576,1319,5.08,415,2112,6.2
-7036,-5374,-7416,-5246,5572,8523,-104,10772,-12110,3856,-7262,-9244,-982,-252,2674,-289,-22,1233,5.07,479,2430,6.3
-6996,-6430,-5414,-6277,2281,9234,4428,12780,-15460,2880,-5641,-5947,-1108,-156,4778,-466,-455,1612,5.07,479,2430,6.3
-2202,-16452,-8392,-8161,516,2985,1996,12494,-10826,1044,4203,-958,-236,610,3886,-531,-803,2157,5.08,411,2087,6.4
-184,-17236,-8858,-7387,3271,-192,1964,13234,-9252,155,7875,1581,288,40,3934,-327,-605,2054,5.08,455,2310,6.4
-900,-15164,-8444,-5564,4595,-2292,3996,14230,-8872,-1545,9101,3162,1104,-836,5274,-91,-598,1319,5.07,469,2380,6.4
-2810,-12992,-3778,-2229,3350,-6706,3246,8928,-9500,-4572,8485,5401,916,-2606,5602,152,-352,-855,5.08,411,2087,6.5
-1210,-13054,-5230,1460,3392,-7548,1908,6504,-8094,-6395,10324,6990,-180,-2562,4230,266,-90,-1786,5.07,469,2380,6.5
-206,-11098,-5912,5506,4193,-8235,466,4360,-6206,-8763,10244,8742,-516,-2516,6224,346,-256,-2292,5.07,479,2430,6.5
-2372,-3282,-4674,10532,4216,-8576,480,3248,-6552,-12597,6825,9725,-2228,-3260,6068,367,204,-2427,5.08,415,2112,6.6
-3092,3124,-2792,11874,5287,-9271,-1090,-1734,-8390,-14411,7073,9359,-2608,-3320,6448,168,958,-2536,5.06,484,2450,6.6
-6520,11508,628,15369,5058,-9040,-5966,-12094,978,-12766,4627,10110,-3080,-1542,7354,-76,1113,-2497,5.07,479,2430,6.7
2138,26948,-3648,12153,2863,-9246,-5186,-29058,7244,-4968,1756,7023,-3136,2474,10494,-20,2082,-1017,5.08,411,2087,6.7
1576,32767,-2144,9426,3307,-9037,-4488,-32768,11512,-3415,167,4320,-2910,3034,11256,31,1515,-553,5.07,474,2405,6.7
920,32767,460,6954,1577,-6387,-4788,-32768,10006,-2802,-741,1424,-2478,1374,8690,-31,1551,-693,5.07,469,2380,6.8
6626,32767,2280,-371,-5831,-1079,128,-32768,8218,-5332,-4105,-2459,-3430,1598,10778,15,1236,-380,5.08,411,2087,6.8
